Iteration,de_max,dedt,res
3,15.0808,-1.91029e+08,6416.28
4,12.7794,-330497,5529.66
5,11.5724,-363221,5316.73
6,10.6832,-177785,5259.1
7,9.72533,-122788,5107.37
8,8.9644,-124499,4844.66
9,8.42519,-93404,4553.29
10,7.92736,-62703.5,4301.03
11,7.48618,-54998.3,4105.24
12,7.14802,-46417.6,3953.13
13,6.85573,-33962.3,3828.45
14,6.60809,-28078.4,3722.23
15,6.40477,-22798.6,3630.99
16,6.24847,-17969.1,3552.48
17,6.11062,-13282.8,3484.28
18,5.99161,-11280.1,3424.09
19,5.88985,-9391.38,3370.17
20,5.80255,-7752.8,3321.31
21,5.72598,-6430.07,3276.58
22,5.65533,-5456.98,3235.26
23,5.58539,-4878.18,3196.79
24,5.52984,-4682.75,3160.75
25,5.48424,-3610.44,3126.82
26,5.43709,-2878.64,3094.7
27,5.39807,-2893.59,3064.18
28,5.35471,-2329.98,3035.09
29,5.3253,-2521.01,3007.25
30,5.29448,-1666.2,2980.54
31,5.26401,-1702.79,2954.85
32,5.23499,-1641.7,2930.06
33,5.21332,-1526.91,2906.09
34,5.19398,-1113.44,2882.89
35,5.17774,-971.175,2860.35
36,5.16409,-797.144,2838.42
37,5.1505,-656.021,2817.07
38,5.13359,-638.931,2796.2
39,5.12894,-778.287,2775.8
40,5.11843,-209.352,2755.81
41,5.11521,-464.69,2736.2
42,5.10618,-139.251,2716.93
43,5.10831,-383.709,2697.94
44,5.10605,88.7395,2679.21
45,5.10474,-92.5353,2660.73
46,5.10362,-52.8015,2642.45
47,5.10661,-44.0458,2624.33
48,5.11097,116.016,2606.35
49,5.11702,165.807,2588.49
50,5.12642,226.798,2570.71
51,5.13625,346.234,2552.95
52,5.14595,355.954,2535.24
53,5.15157,345.457,2517.52
54,5.16855,197.412,2499.74
55,5.17839,586.222,2481.88
56,5.19529,334.477,2464.02
57,5.20555,565.68,2445.99
58,5.22613,338.16,2427.97
59,5.24353,668.76,2409.83
60,5.26026,557.071,2391.93
61,5.27737,528.078,2374.86
62,5.29686,532.551,2361.05
63,5.31752,598.123,2358.65
64,5.33178,625.354,2385.67
65,5.45671,425.656,2462.94
66,7.60622,3680.42,2578.09
67,8.78098,62491.2,2677.8
68,8.77742,33709.2,2745.11
69,8.3885,-100.63,2813.99
70,7.81103,-10877.6,2876.76
71,7.1733,-15948.8,2910.24
72,6.52206,-17395.9,2916.75
73,6.24971,-17547.7,2915.57
74,7.29791,-7250.06,2902.17
75,8.11994,27571.2,2868.91
76,8.74508,21367.9,2821.05
77,9.19112,16060.9,2761.68
78,9.49028,11327.7,2691.26
79,9.65729,7511.34,2613.27
80,9.69653,4146.21,2533.08
81,9.65532,963.153,2451.92
82,9.73103,-1000.49,2370.17
83,9.88094,1818.28,2291.38
84,10.0286,3561.66,2214.62
85,10.1392,3471.3,2140.39
86,10.114,2571.33,2069.24
87,10.1107,-579.649,2001.06
88,9.94611,-74.8466,1935.69
89,9.92395,-3711.22,1872.77
90,9.80441,-494.554,1812.25
91,9.63296,-2641.14,1753.94
92,9.42919,-3750.56,1697.66
93,9.18985,-4414.13,1643.42
94,8.89363,-5134.1,1591.08
95,8.56516,-6293.26,1540.48
96,8.35515,-6911.88,1491.61
97,8.06605,-4377.61,1444.46
98,8.01842,-5969.71,1398.96
99,7.96763,-974.469,1355.08
100,7.89627,-1029.43,1312.79
101,7.83424,-1433.46,1272.03
102,7.76413,-1234.71,1232.8
103,7.67499,-1383.08,1195.05
104,7.60154,-1742.83,1158.74
105,7.50925,-1423.56,1123.81
