T, N2, O2, NO, N, O, Ar, Ar+, N+, O+, e-
598.148, 0.745206, 0.22839, 1.97607e-08, 0, 3.65105e-314, 0.0264039, 9.27099e-43, 0, 2.57947e-225, 0
624.544, 0.745206, 0.22839, 4.29493e-08, 0, 5.62254e-291, 0.0264039, 5.14082e-42, 0, 2.80165e-214, 0
650.737, 0.745206, 0.22839, 8.71933e-08, 0, 5.97334e-268, 0.0264039, 2.41849e-41, 0, 1.97953e-203, 0
676.727, 0.745206, 0.22839, 1.66769e-07, 0, 2.92433e-245, 0.0264039, 9.96757e-41, 0, 8.37296e-193, 0
702.518, 0.745206, 0.22839, 3.02695e-07, 0, 1.39723e-223, 0.0264039, 3.66376e-40, 0, 1.97368e-182, 0
728.115, 0.745206, 0.22839, 5.24584e-07, 0, 9.73905e-203, 0.0264039, 1.21766e-39, 0, 2.39601e-172, 0
753.521, 0.745206, 0.22839, 8.72605e-07, 0, 1.41697e-182, 0.0264039, 3.70131e-39, 0, 1.26096e-162, 0
778.743, 0.745205, 0.228389, 1.39947e-06, 0, 2.89126e-163, 0.0264039, 1.03912e-38, 0, 1.85819e-153, 0
803.786, 0.745205, 0.228389, 2.17234e-06, 0, 3.02327e-139, 0.0264039, 7.38587e-38, 0, 2.41328e-142, 0
828.658, 0.745204, 0.228388, 3.27465e-06, 0, 3.46038e-116, 0.0264039, 4.92517e-37, 0, 7.89277e-130, 0
853.362, 0.745204, 0.228388, 4.80764e-06, 0, 2.31919e-93, 0.0264039, 8.42875e-36, 0, 1.3758e-119, 0
877.907, 0.745203, 0.228387, 6.8918e-06, 0, 1.79307e-75, 0.0264039, 5.03771e-35, 0, 1.91918e-109, 0
902.298, 0.745201, 0.228385, 9.66786e-06, 0, 3.56482e-58, 0.0264039, 7.80763e-34, 0, 1.87795e-101, 0
926.541, 0.7452, 0.228383, 1.32976e-05, 0, 1.8069e-44, 0.0264039, 4.26456e-33, 0, 3.37634e-93, 0
950.641, 0.745198, 0.228381, 1.79641e-05, 0, 2.26752e-32, 0.0264039, 2.23987e-32, 0, 1.01922e-85, 0
974.605, 0.745195, 0.228378, 2.38725e-05, 0, 9.7758e-22, 0.0264039, 1.13503e-31, 0, 6.14013e-79, 0
998.435, 0.745191, 0.228374, 3.12489e-05, 0, 1.8826e-12, 0.0264039, 5.56561e-31, 0, 8.58536e-73, 0
1022.14, 0.745187, 0.228369, 4.03406e-05, 0, 1.99567e-10, 0.0264039, 2.64777e-30, 0, 3.18328e-67, 0
1045.72, 0.745182, 0.228363, 5.1415e-05, 3.1727e-306, 3.85867e-10, 0.0264039, 1.22499e-29, 0, 3.51917e-62, 0
1069.18, 0.745176, 0.228356, 6.47588e-05, 1.81635e-281, 7.22421e-10, 0.0264039, 5.52314e-29, 0, 1.28743e-57, 0
1092.53, 0.745168, 0.228347, 8.06767e-05, 3.03179e-258, 1.31273e-09, 0.0264039, 2.43147e-28, 0, 1.70928e-53, 0
1115.77, 0.745159, 0.228337, 9.949e-05, 1.84755e-236, 2.32021e-09, 0.0264039, 1.04695e-27, 0, 8.94573e-50, 0
1138.89, 0.745149, 0.228325, 0.000121535, 1.79389e-224, 3.99655e-09, 0.0264039, 1.62454e-27, 0, 9.32145e-45, 0
1161.92, 0.745137, 0.228312, 0.000147162, 7.12838e-205, 6.72071e-09, 0.0264039, 6.72187e-27, 0, 1.0197e-41, 0
1184.84, 0.745123, 0.228296, 0.000176731, 1.74719e-186, 1.10512e-08, 0.0264039, 2.73188e-26, 0, 5.34807e-39, 0
1207.67, 0.745108, 0.228278, 0.000210614, 3.10609e-169, 1.7795e-08, 0.0264039, 1.09182e-25, 0, 1.41928e-36, 0
1230.39, 0.74509, 0.228257, 0.000249191, 6.75395e-160, 2.8097e-08, 0.0264039, 1.58025e-25, 0, 1.28084e-32, 0
1253.02, 0.745069, 0.228234, 0.000292845, 2.25287e-144, 4.35537e-08, 0.0264039, 6.12626e-25, 0, 1.41148e-30, 0
1275.56, 0.745046, 0.228208, 0.000341966, 5.952e-136, 6.63548e-08, 0.0264039, 8.61227e-25, 0, 7.04099e-27, 0
1298.01, 0.745021, 0.228178, 0.000396945, 3.50355e-122, 9.94605e-08, 0.0264039, 3.23298e-24, 0, 3.00101e-25, 0
1320.37, 0.744992, 0.228146, 0.000458173, 1.74907e-109, 1.46814e-07, 0.0264039, 1.153e-23, 0, 9.70182e-24, 0
1342.65, 0.74496, 0.22811, 0.00052604, 5.9731e-103, 2.13598e-07, 0.0264039, 7.75621e-26, 0, 9.45257e-23, 0
1364.83, 0.744925, 0.22807, 0.000600933, 6.76282e-92, 3.06543e-07, 0.0264039, 1.05863e-25, 2.60488e-311, 5.34565e-22, 0
1386.94, 0.744887, 0.228026, 0.000683233, 2.61689e-86, 4.34281e-07, 0.0264039, 1.54664e-28, 2.39186e-307, 6.60311e-22, 0
1408.96, 0.744845, 0.227977, 0.000773315, 1.05313e-76, 6.07763e-07, 0.0264039, 1.57613e-28, 1.82791e-292, 1.7433e-21, 0
1430.89, 0.744799, 0.227925, 0.000871544, 6.34582e-72, 8.40731e-07, 0.0264039, 3.34604e-31, 6.52264e-289, 1.95862e-21, 0
1452.74, 0.744749, 0.227867, 0.000978279, 2.01755e-67, 1.15027e-06, 0.0264039, 1.0441e-33, 2.18235e-285, 2.50711e-21, 0
1474.52, 0.744695, 0.227805, 0.00109386, 1.30145e-59, 1.55738e-06, 0.0264039, 3.20983e-33, 2.52316e-271, 9.08345e-21, 0
1496.21, 0.744637, 0.227738, 0.00121863, 9.35132e-56, 2.08772e-06, 0.0264039, 1.51423e-35, 4.6153e-268, 1.33758e-20, 0
1517.82, 0.744574, 0.227666, 0.00135291, 4.64346e-49, 2.77226e-06, 0.0264039, 1.02145e-34, 1.62927e-254, 6.32565e-20, 0
