T, N2, O2, NO, N, O, Ar, Ar+, N+, O+, e-
598.148, 0.773299, 0.207487, 1.91427e-08, 0, 6.63363e-314, 0.0192136, 6.74643e-43, 0, 4.68682e-225, 0
624.544, 0.773299, 0.207487, 4.1606e-08, 0, 1.02156e-290, 0.0192136, 3.74094e-42, 0, 5.09052e-214, 0
650.737, 0.773299, 0.207487, 8.44662e-08, 0, 1.0853e-267, 0.0192136, 1.75992e-41, 0, 3.59674e-203, 0
676.727, 0.773299, 0.207487, 1.61554e-07, 0, 5.31324e-245, 0.0192136, 7.25333e-41, 0, 1.52134e-192, 0
702.518, 0.773299, 0.207487, 2.93228e-07, 0, 2.53865e-223, 0.0192136, 2.66609e-40, 0, 3.58612e-182, 0
728.115, 0.773299, 0.207487, 5.08177e-07, 0, 1.7695e-202, 0.0192136, 8.86081e-40, 0, 4.35349e-172, 0
753.521, 0.773299, 0.207487, 8.45313e-07, 0, 2.57451e-182, 0.0192136, 2.69342e-39, 0, 2.29112e-162, 0
778.743, 0.773298, 0.207487, 1.3557e-06, 0, 5.25316e-163, 0.0192136, 7.56163e-39, 0, 3.37628e-153, 0
803.786, 0.773298, 0.207486, 2.1044e-06, 0, 5.49301e-139, 0.0192136, 5.37464e-38, 0, 4.38487e-142, 0
828.658, 0.773297, 0.207486, 3.17223e-06, 0, 6.2872e-116, 0.0192136, 3.58401e-37, 0, 1.43409e-129, 0
853.362, 0.773297, 0.207485, 4.65728e-06, 0, 4.21376e-93, 0.0192136, 6.13354e-36, 0, 2.49978e-119, 0
877.907, 0.773296, 0.207484, 6.67625e-06, 0, 3.25784e-75, 0.0192136, 3.66591e-35, 0, 3.4871e-109, 0
902.298, 0.773294, 0.207483, 9.36548e-06, 0, 6.47696e-58, 0.0192136, 5.68156e-34, 0, 3.41218e-101, 0
926.541, 0.773293, 0.207481, 1.28817e-05, 0, 3.28297e-44, 0.0192136, 3.10329e-33, 0, 6.13471e-93, 0
950.641, 0.77329, 0.207479, 1.74023e-05, 0, 4.11987e-32, 0.0192136, 1.62994e-32, 0, 1.85189e-85, 0
974.605, 0.773287, 0.207476, 2.31259e-05, 0, 1.77617e-21, 0.0192136, 8.25956e-32, 0, 1.11564e-78, 0
998.435, 0.773284, 0.207472, 3.02715e-05, 0, 3.42051e-12, 0.0192136, 4.05005e-31, 0, 1.55994e-72, 0
1022.14, 0.773279, 0.207468, 3.90789e-05, 0, 3.62594e-10, 0.0192136, 1.92676e-30, 0, 5.78392e-67, 0
1045.72, 0.773274, 0.207462, 4.98069e-05, 6.5846e-306, 7.01085e-10, 0.0192136, 8.91413e-30, 0, 6.39423e-62, 0
1069.18, 0.773268, 0.207456, 6.27334e-05, 3.76965e-281, 1.31257e-09, 0.0192136, 4.01915e-29, 0, 2.33923e-57, 0
1092.53, 0.77326, 0.207448, 7.81534e-05, 6.29216e-258, 2.38512e-09, 0.0192136, 1.76936e-28, 0, 3.1057e-53, 0
1115.77, 0.773251, 0.207439, 9.63783e-05, 3.83439e-236, 4.21562e-09, 0.0192136, 7.61855e-28, 0, 1.62541e-49, 0
1138.89, 0.77324, 0.207429, 0.000117734, 3.72303e-224, 7.26137e-09, 0.0192136, 1.18217e-27, 0, 1.69368e-44, 0
1161.92, 0.773228, 0.207416, 0.000142559, 1.47942e-204, 1.22109e-08, 0.0192136, 4.89145e-27, 0, 1.85277e-41, 0
1184.84, 0.773213, 0.207402, 0.000171204, 3.6261e-186, 2.0079e-08, 0.0192136, 1.98797e-26, 0, 9.71729e-39, 0
1207.67, 0.773197, 0.207385, 0.000204027, 6.44637e-169, 3.23319e-08, 0.0192136, 7.94509e-26, 0, 2.5788e-36, 0
1230.39, 0.773178, 0.207367, 0.000241397, 1.40171e-159, 5.10498e-08, 0.0192136, 1.14994e-25, 0, 2.32724e-32, 0
1253.02, 0.773157, 0.207345, 0.000283686, 4.67561e-144, 7.91331e-08, 0.0192136, 4.45803e-25, 0, 2.56462e-30, 0
1275.56, 0.773133, 0.207322, 0.000331271, 1.23528e-135, 1.20561e-07, 0.0192136, 6.26709e-25, 0, 1.27933e-26, 0
1298.01, 0.773107, 0.207295, 0.00038453, 7.27126e-122, 1.80711e-07, 0.0192136, 2.35262e-24, 0, 5.45274e-25, 0
1320.37, 0.773077, 0.207265, 0.000443843, 3.63001e-109, 2.66747e-07, 0.0192136, 8.39028e-24, 0, 1.76279e-23, 0
1342.65, 0.773044, 0.207232, 0.000509588, 1.23965e-102, 3.88088e-07, 0.0192136, 5.64414e-26, 0, 1.71751e-22, 0
1364.83, 0.773008, 0.207196, 0.000582138, 1.40355e-91, 5.56961e-07, 0.0192136, 7.70358e-26, 5.40638e-311, 9.7129e-22, 0
1386.94, 0.772968, 0.207156, 0.000661864, 5.43109e-86, 7.8905e-07, 0.0192136, 1.12547e-28, 4.96425e-307, 1.19977e-21, 0
1408.96, 0.772924, 0.207112, 0.000749128, 2.18566e-76, 1.10425e-06, 0.0192136, 1.14694e-28, 3.7938e-292, 3.16753e-21, 0
