x,y,density,u-vel,v-vel,pressure,temperature,a,e
0.0075,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.0225,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.0375,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.0525,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.0675,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.0825,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.0975,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.1125,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.1275,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.1425,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.1575,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.1725,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.1875,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.2025,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.2175,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.2325,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.2475,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.2625,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.2775,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.2925,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.3075,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.3225,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.3375,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.3525,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.3675,0.00375,0.000977525,1000,0,75.95,270.719,329.81,194241
0.3825,0.00375,0.000977525,1000,-8.61281e-14,75.95,270.719,329.81,194241
0.3975,0.00375,0.000977525,1000,-5.57309e-14,75.95,270.719,329.81,194241
0.4125,0.00375,0.000977525,1000,6.92805e-14,75.95,270.719,329.81,194241
0.4275,0.00375,0.000977525,1000,1.38029e-13,75.95,270.719,329.81,194241
0.4425,0.00375,0.000977525,1000,4.67156e-14,75.95,270.719,329.81,194241
0.4575,0.00375,0.000977525,1000,-9.17247e-14,75.95,270.719,329.81,194241
0.4725,0.00375,0.000977525,1000,-1.71185e-13,75.95,270.719,329.81,194241
0.4875,0.00375,0.000977525,1000,-1.95487e-13,75.95,270.719,329.81,194241
0.5025,0.00375,0.000977525,1000,-1.49869e-13,75.95,270.719,329.81,194241
0.5175,0.00375,0.000977525,1000,-1.18834e-13,75.95,270.719,329.81,194241
0.5325,0.00375,0.000977525,1000,-1.10984e-13,75.95,270.719,329.81,194241
0.5475,0.00375,0.000977525,1000,-8.85836e-14,75.95,270.719,329.81,194241
0.5625,0.00375,0.000977525,1000,7.29209e-14,75.95,270.719,329.81,194241
0.5775,0.00375,0.000977525,1000,-7.2023e-15,75.95,270.719,329.81,194241
0.5925,0.00375,0.000977525,1000,2.7306e-14,75.95,270.719,329.81,194241
0.6075,0.00375,0.000977525,1000,-5.20658e-14,75.95,270.719,329.81,194241
0.6225,0.00375,0.000977525,1000,-9.41433e-15,75.95,270.719,329.81,194241
0.6375,0.00375,0.000977525,1000,5.07125e-14,75.95,270.719,329.81,194241
0.6525,0.00375,0.000977525,1000,1.10435e-13,75.95,270.719,329.81,194241
0.6675,0.00375,0.000977525,1000,5.6435e-14,75.95,270.719,329.81,194241
0.6825,0.00375,0.000977525,1000,7.533e-14,75.95,270.719,329.81,194241
0.6975,0.00375,0.000977525,1000,9.38221e-15,75.95,270.719,329.81,194241
0.7125,0.00375,0.000977525,1000,5.47228e-14,75.95,270.719,329.81,194241
0.7275,0.00375,0.000977525,1000,3.20552e-14,75.95,270.719,329.81,194241
0.7425,0.00375,0.000977525,1000,1.02417e-13,75.95,270.719,329.81,194241
0.7575,0.00375,0.000977525,1000,1.42328e-13,75.95,270.719,329.81,194241
0.7725,0.00375,0.000977525,1000,-1.67736e-14,75.95,270.719,329.81,194241
0.7875,0.00375,0.000977525,1000,-3.69992e-14,75.95,270.719,329.81,194241
0.8025,0.00375,0.000977525,1000,-1.45843e-13,75.95,270.719,329.81,194241
0.8175,0.00375,0.000977525,1000,-1.96527e-13,75.95,270.719,329.81,194241
0.8325,0.00375,0.000977525,1000,-9.76934e-14,75.95,270.719,329.81,194241
0.8475,0.00375,0.000977525,1000,-1.18011e-13,75.95,270.719,329.81,194241
0.8625,0.00375,0.000977525,1000,-1.4023e-13,75.95,270.719,329.81,194241
0.8775,0.00375,0.000977525,1000,-7.85835e-14,75.95,270.719,329.81,194241
0.8925,0.00375,0.000977525,1000,-4.14813e-14,75.95,270.719,329.81,194241
0.9075,0.00375,0.000977525,1000,6.54662e-14,75.95,270.719,329.81,194241
0.9225,0.00375,0.000977525,1000,-7.88832e-15,75.95,270.719,329.81,194241
0.9375,0.00375,0.000977525,1000,5.6474e-14,75.95,270.719,329.81,194241
0.9525,0.00375,0.000977525,1000,-5.26497e-14,75.95,270.719,329.81,194241
0.9675,0.00375,0.000977525,1000,2.19961e-09,75.95,270.719,329.81,194241
0.9825,0.00375,0.00097753,1000,-0.00290459,75.9492,270.714,329.807,194237
0.9975,0.00574957,0.00142161,915.138,125.709,141.001,345.588,372.635,247959
1.0125,0.00974871,0.0016851,881.29,179.048,177.589,367.205,384.113,263470
1.0275,0.0137479,0.00182665,865.119,204.531,196.98,375.739,388.551,269592
1.0425,0.017747,0.0018956,856.765,217.004,206.768,380.061,390.78,272694
1.0575,0.0217461,0.00192673,852.56,222.881,211.425,382.343,391.951,274331
1.0725,0.0257453,0.00194047,850.592,225.5,213.543,383.44,392.513,275118
1.0875,0.0297444,0.00194673,849.703,226.623,214.511,383.94,392.768,275477
1.1025,0.0337436,0.00194978,849.294,227.093,214.983,384.18,392.891,275649
1.1175,0.0377427,0.00195144,849.089,227.286,215.238,384.31,392.958,275742
1.1325,0.0417418,0.00195247,848.974,227.362,215.395,384.389,392.998,275799
1.1475,0.045741,0.00195317,848.9,227.391,215.504,384.444,393.026,275839
1.1625,0.0497401,0.0019537,848.849,227.401,215.586,384.486,393.048,275869
1.1775,0.0537393,0.00195413,848.809,227.402,215.652,384.519,393.065,275892
1.1925,0.0577384,0.00195448,848.776,227.401,215.706,384.547,393.079,275912
1.2075,0.0617376,0.00195478,848.749,227.399,215.752,384.57,393.091,275929
1.2225,0.0657367,0.00195503,848.726,227.396,215.792,384.59,393.101,275944
1.2375,0.0697358,0.00195526,848.706,227.393,215.826,384.608,393.11,275956
1.2525,0.073735,0.00195545,848.688,227.391,215.856,384.623,393.118,275967
1.2675,0.0777341,0.00195562,848.673,227.389,215.883,384.637,393.125,275977
1.2825,0.0817333,0.00195578,848.659,227.386,215.906,384.649,393.131,275985
1.2975,0.0857324,0.00195591,848.647,227.384,215.927,384.659,393.136,275993
1.3125,0.0897315,0.00195603,848.636,227.383,215.946,384.669,393.141,276000
1.3275,0.0937307,0.00195614,848.627,227.381,215.963,384.677,393.145,276006
1.3425,0.0977298,0.00195624,848.618,227.38,215.978,384.685,393.149,276011
1.3575,0.101729,0.00195632,848.61,227.378,215.991,384.692,393.153,276016
1.3725,0.105728,0.0019564,848.603,227.377,216.003,384.698,393.156,276021
1.3875,0.109727,0.00195647,848.597,227.376,216.013,384.703,393.159,276025
1.4025,0.113726,0.00195653,848.592,227.375,216.023,384.708,393.161,276028
1.4175,0.117726,0.00195659,848.587,227.374,216.032,384.712,393.163,276031
1.4325,0.121725,0.00195664,848.582,227.373,216.039,384.716,393.165,276034
1.4475,0.125724,0.00195668,848.578,227.373,216.046,384.72,393.167,276037
1.4625,0.129723,0.00195672,848.575,227.372,216.053,384.723,393.169,276039
1.4775,0.133722,0.00195676,848.572,227.371,216.058,384.726,393.17,276041
1.4925,0.137721,0.00195679,848.569,227.371,216.063,384.728,393.172,276043
1.5075,0.14172,0.00195682,848.566,227.37,216.068,384.731,393.173,276044
1.5225,0.14572,0.00195684,848.564,227.37,216.071,384.733,393.174,276046
1.5375,0.149719,0.00195687,848.562,227.37,216.075,384.734,393.175,276047
1.5525,0.153718,0.00195689,848.56,227.37,216.078,384.736,393.175,276048
1.5675,0.157717,0.0019569,848.559,227.369,216.08,384.737,393.176,276049
1.5825,0.161716,0.00195692,848.558,227.369,216.082,384.738,393.177,276050
1.5975,0.165715,0.00195693,848.557,227.369,216.084,384.739,393.177,276050
1.6125,0.169714,0.00195694,848.556,227.369,216.086,384.74,393.177,276051
1.6275,0.173714,0.00195695,848.555,227.369,216.087,384.74,393.178,276051
1.6425,0.177713,0.00195695,848.554,227.369,216.088,384.741,393.178,276052
1.6575,0.181712,0.00195696,848.554,227.369,216.089,384.742,393.178,276052
1.6725,0.185711,0.00195696,848.553,227.369,216.09,384.742,393.178,276052
1.6875,0.18971,0.00195697,848.553,227.368,216.091,384.742,393.179,276053
1.7025,0.193709,0.00195697,848.552,227.368,216.091,384.743,393.179,276053
1.7175,0.197708,0.00195698,848.552,227.368,216.092,384.743,393.179,276053
1.7325,0.201708,0.00195698,848.552,227.368,216.092,384.743,393.179,276053
1.7475,0.205707,0.00195698,848.551,227.368,216.093,384.743,393.179,276053
1.7625,0.209706,0.00195699,848.551,227.368,216.093,384.744,393.179,276053
1.7775,0.213705,0.00195699,848.551,227.368,216.093,384.744,393.179,276054
1.7925,0.217704,0.00195698,848.551,227.368,216.093,384.744,393.179,276053
1.8075,0.221703,0.00195698,848.551,227.369,216.093,384.743,393.179,276053
1.8225,0.225702,0.00195698,848.552,227.369,216.092,384.743,393.179,276053
1.8375,0.229702,0.00195698,848.552,227.369,216.092,384.743,393.179,276053
1.8525,0.233701,0.00195697,848.552,227.369,216.091,384.743,393.179,276053
1.8675,0.2377,0.00195697,848.553,227.369,216.091,384.742,393.179,276053
1.8825,0.241699,0.00195696,848.553,227.369,216.09,384.742,393.178,276052
1.8975,0.245698,0.00195696,848.554,227.369,216.089,384.741,393.178,276052
1.9125,0.249697,0.00195695,848.554,227.369,216.088,384.741,393.178,276052
1.9275,0.253696,0.00195695,848.555,227.37,216.087,384.741,393.178,276051
1.9425,0.257695,0.00195694,848.555,227.37,216.086,384.74,393.178,276051
1.9575,0.261695,0.00195694,848.556,227.37,216.085,384.74,393.177,276051
1.9725,0.265694,0.00195693,848.556,227.37,216.084,384.739,393.177,276050
1.9875,0.269693,0.00195701,848.548,227.363,216.095,384.743,393.179,276053
2.0025,0.271692,0.00130782,895.628,122.554,135.175,360.136,380.398,258398
2.0175,0.271692,0.001064,920.418,62.2616,104.091,340.87,370.083,244575
2.0325,0.271692,0.000963121,933.113,30.3403,91.0588,329.427,363.818,236364
2.0475,0.271692,0.0009183,939.716,14.2955,85.2198,323.351,360.447,232004
2.0625,0.271692,0.000897327,943.106,6.60146,82.4832,320.282,358.733,229802
2.0775,0.271692,0.000886984,944.825,3.07086,81.1386,318.735,357.866,228692
2.0925,0.271692,0.000881446,945.739,1.49172,80.4226,317.907,357.401,228098
2.1075,0.271692,0.000878117,946.278,0.787407,79.9943,317.413,357.123,227744
2.1225,0.271692,0.000875845,946.639,0.467181,79.7033,317.079,356.934,227504
2.1375,0.271692,0.000874122,946.91,0.314992,79.4832,316.826,356.792,227323
2.1525,0.271692,0.000872714,947.129,0.237054,79.3037,316.621,356.677,227176
2.1675,0.271692,0.00087151,947.316,0.192758,79.1504,316.446,356.578,227050
2.1825,0.271692,0.000870452,947.48,0.16441,79.0159,316.292,356.491,226939
2.1975,0.271692,0.000869509,947.625,0.144179,78.8959,316.154,356.414,226841
2.2125,0.271692,0.000868658,947.757,0.128492,78.7879,316.03,356.344,226752
2.2275,0.271692,0.000867885,947.876,0.115643,78.6898,315.918,356.281,226671
2.2425,0.271692,0.000867181,947.985,0.104752,78.6004,315.815,356.223,226597
2.2575,0.271692,0.000866536,948.085,0.0953233,78.5186,315.721,356.17,226530
2.2725,0.271692,0.000865943,948.176,0.08705,78.4434,315.635,356.121,226468
2.2875,0.271692,0.000865397,948.261,0.0797221,78.3741,315.555,356.076,226411
2.3025,0.271692,0.000864892,948.339,0.0731867,78.3101,315.482,356.034,226358
2.3175,0.271692,0.000864425,948.411,0.0673258,78.2509,315.413,355.996,226309
2.3325,0.271692,0.000863992,948.478,0.0620459,78.196,315.35,355.96,226264
2.3475,0.271692,0.000863588,948.541,0.0572709,78.1449,315.291,355.927,226221
2.3625,0.271692,0.000863213,948.599,0.0529376,78.0973,315.236,355.896,226182
2.3775,0.271692,0.000862863,948.653,0.0489933,78.053,315.185,355.867,226145
2.3925,0.271692,0.000862536,948.704,0.0453934,78.0116,315.137,355.84,226111
2.4075,0.271692,0.00086223,948.751,0.0420997,77.9728,315.093,355.815,226079
2.4225,0.271692,0.000861943,948.795,0.0390795,77.9365,315.051,355.791,226049
2.4375,0.271692,0.000861674,948.837,0.0363045,77.9025,315.011,355.769,226021
2.4525,0.271692,0.000861422,948.876,0.0337501,77.8705,314.974,355.748,225994
2.4675,0.271692,0.000861184,948.913,0.0313946,77.8404,314.94,355.729,225969
2.4825,0.271692,0.000860961,948.948,0.0292192,77.8122,314.907,355.71,225946
2.4975,0.271692,0.00086075,948.98,0.0272069,77.7855,314.876,355.693,225924
2.5125,0.271692,0.000860551,949.011,0.025343,77.7604,314.847,355.676,225903
2.5275,0.271692,0.000860364,949.04,0.0236141,77.7367,314.82,355.661,225883
2.5425,0.271692,0.000860186,949.068,0.0220085,77.7142,314.794,355.646,225865
2.5575,0.271692,0.000860019,949.094,0.0205153,77.693,314.769,355.632,225847
2.5725,0.271692,0.00085986,949.118,0.0191251,77.673,314.746,355.619,225830
2.5875,0.271692,0.00085971,949.141,0.0178292,77.6539,314.724,355.607,225814
2.6025,0.271692,0.000859567,949.164,0.0166197,77.6359,314.703,355.595,225799
2.6175,0.271692,0.000859432,949.185,0.0154895,77.6188,314.683,355.584,225785
2.6325,0.271692,0.000859303,949.205,0.014432,77.6025,314.664,355.573,225772
