x,y,density,u-vel,v-vel,pressure,temperature,a,e
0.0075,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.0225,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.0375,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.0525,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.0675,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.0825,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.0975,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.1125,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.1275,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.1425,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.1575,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.1725,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.1875,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.2025,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.2175,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.2325,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.2475,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.2625,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.2775,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.2925,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.3075,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.3225,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.3375,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.3525,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.3675,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.3825,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.3975,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.4125,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.4275,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.4425,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.4575,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.4725,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.4875,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.5025,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.5175,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.5325,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.5475,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.5625,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.5775,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.5925,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.6075,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.6225,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.6375,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.6525,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.6675,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.6825,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.6975,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.7125,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.7275,0.00375,0.000977525,6595.98,-4.50217e-316,75.95,270.719,329.81,194241
0.7425,0.00375,0.000977525,6595.98,1.52996e-298,75.95,270.719,329.81,194241
0.7575,0.00375,0.000977525,6595.98,2.06823e-267,75.95,270.719,329.81,194241
0.7725,0.00375,0.000977525,6595.98,2.48498e-250,75.95,270.719,329.81,194241
0.7875,0.00375,0.000977525,6595.98,1.61576e-230,75.95,270.719,329.81,194241
0.8025,0.00375,0.000977525,6595.98,-2.49034e-212,75.95,270.719,329.81,194241
0.8175,0.00375,0.000977525,6595.98,2.61762e-194,75.95,270.719,329.81,194241
0.8325,0.00375,0.000977525,6595.98,-3.70966e-176,75.95,270.719,329.81,194241
0.8475,0.00375,0.000977525,6595.98,5.84897e-158,75.95,270.719,329.81,194241
0.8625,0.00375,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
0.8775,0.00375,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
0.8925,0.00375,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
0.9075,0.00375,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
0.9225,0.00375,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
0.9375,0.00375,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
0.9525,0.00375,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
0.9675,0.00375,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
0.9825,0.00375,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
0.9975,0.00574957,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.0125,0.00974871,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.0275,0.0137479,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.0425,0.017747,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.0575,0.0217461,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.0725,0.0257453,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.0875,0.0297444,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.1025,0.0337436,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.1175,0.0377427,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.1325,0.0417418,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.1475,0.045741,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.1625,0.0497401,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.1775,0.0537393,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.1925,0.0577384,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.2075,0.0617376,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.2225,0.0657367,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.2375,0.0697358,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.2525,0.073735,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.2675,0.0777341,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.2825,0.0817333,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.2975,0.0857324,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.3125,0.0897315,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.3275,0.0937307,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.3425,0.0977298,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.3575,0.101729,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.3725,0.105728,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.3875,0.109727,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.4025,0.113726,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.4175,0.117726,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.4325,0.121725,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.4475,0.125724,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.4625,0.129723,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.4775,0.133722,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
