x,y,density,u-vel,v-vel,pressure,temperature,a,e
0.0075,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.0225,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.0375,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.0525,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.0675,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.0825,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.0975,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.1125,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.1275,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.1425,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.1575,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.1725,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.1875,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.2025,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.2175,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.2325,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.2475,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.2625,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.2775,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.2925,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.3075,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.3225,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.3375,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.3525,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.3675,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.3825,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.3975,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.4125,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.4275,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.4425,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.4575,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.4725,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.4875,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.5025,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.5175,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.5325,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.5475,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.5625,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.5775,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.5925,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.6075,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.6225,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.6375,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.6525,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.6675,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.6825,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.6975,0.00375,0.000977525,6595.98,0,75.95,270.719,329.81,194241
0.7125,0.00375,0.000977525,6595.98,-3.03257e-320,75.95,270.719,329.81,194241
0.7275,0.00375,0.000977525,6595.98,3.04032e-303,75.95,270.719,329.81,194241
0.7425,0.00375,0.000977525,6595.98,-3.4768e-284,75.95,270.719,329.81,194241
0.7575,0.00375,0.000977525,6595.98,3.97597e-265,75.95,270.719,329.81,194241
0.7725,0.00375,0.000977525,6595.98,-4.54684e-246,75.95,270.719,329.81,194241
0.7875,0.00375,0.000977525,6595.98,5.19971e-227,75.95,270.719,329.81,194241
0.8025,0.00375,0.000977525,6595.98,-5.94637e-208,75.95,270.719,329.81,194241
0.8175,0.00375,0.000977525,6595.98,6.80029e-189,75.95,270.719,329.81,194241
0.8325,0.00375,0.000977525,6595.98,-7.77689e-170,75.95,270.719,329.81,194241
0.8475,0.00375,0.000977525,6595.98,-4.1152e-151,75.95,270.719,329.81,194241
0.8625,0.00375,0.000977525,6595.98,4.82389e-132,75.95,270.719,329.81,194241
0.8775,0.00375,0.000977525,6595.98,-5.65266e-113,75.95,270.719,329.81,194241
0.8925,0.00375,0.000977525,6595.98,6.62161e-94,75.95,270.719,329.81,194241
0.9075,0.00375,0.000977525,6595.98,-7.75415e-75,75.95,270.719,329.81,194241
0.9225,0.00375,0.000977525,6595.98,9.07758e-56,75.95,270.719,329.81,194241
0.9375,0.00375,0.000977525,6595.98,-1.06237e-36,75.95,270.719,329.81,194241
0.9525,0.00375,0.000977525,6595.98,3.85762e-14,75.95,270.719,329.81,194241
0.9675,0.00375,0.000977525,6595.98,1.46132e-11,75.95,270.719,329.81,194241
0.9825,0.00375,0.000977527,6595.88,-4.40909e-05,75.9508,270.721,329.811,194242
0.9975,0.00574957,0.00118255,6555.31,136.121,209.369,616.896,497.864,442623
1.0125,0.00974871,0.00123455,6549.82,166.115,9.42824e+06,15535.4,3470.23,495552
1.0275,0.0137479,0.00124597,6549.27,172.71,9.42824e+06,15535.4,3470.23,507258
1.0425,0.017747,0.00124913,6549.11,174.591,9.42824e+06,15535.4,3470.23,510601
1.0575,0.0217461,0.00125085,6548.9,175.651,9.42824e+06,15535.4,3470.23,512452
1.0725,0.0257453,0.00125237,6548.66,176.59,9.42824e+06,15535.4,3470.23,514078
1.0875,0.0297444,0.00125387,6548.41,177.521,9.42824e+06,15535.4,3470.23,515683
1.1025,0.0337436,-0.0371936,-49953.6,499.361,2.37436e+07,-2.22431e+06,nan,-1.59594e+09
1.1175,0.0377427,-0.0465933,11064.9,-313063,9.14436e+08,-6.8383e+07,nan,-4.90648e+10
1.1325,0.0417418,-0.0794988,79311.4,-293898,1.45903e+09,-6.39473e+07,nan,-4.58822e+10
1.1475,0.045741,-0.068451,106502,-299373,1.36505e+09,-6.94846e+07,nan,-4.98552e+10
1.1625,0.0497401,-0.0424207,109514,-320596,9.62831e+08,-7.90844e+07,nan,-5.6743e+10
1.1775,0.0537393,-0.039415,91210.8,-322235,8.75859e+08,-7.74267e+07,nan,-5.55537e+10
1.1925,0.0577384,-0.0455543,90450.9,-312616,9.55458e+08,-7.30803e+07,nan,-5.24351e+10
1.2075,0.0617376,-0.0446634,94354.5,-313015,9.44997e+08,-7.37219e+07,nan,-5.28955e+10
1.2225,0.0657367,-0.0422219,94600,-315004,9.04266e+08,-7.46236e+07,nan,-5.35425e+10
1.2375,0.0697358,-0.0408015,94263,-315791,8.77421e+08,-7.49291e+07,nan,-5.37616e+10
1.2525,0.073735,-0.0395364,94357,-316554,8.54165e+08,-7.52772e+07,nan,-5.40114e+10
1.2675,0.0777341,-0.0383499,94456.8,-317313,8.32367e+08,-7.56256e+07,nan,-5.42614e+10
1.2825,0.0817333,-0.0372351,94561.7,-318069,8.11895e+08,-7.59741e+07,nan,-5.45114e+10
1.2975,0.0857324,-0.0361858,94671.2,-318822,7.92634e+08,-7.63225e+07,nan,-5.47614e+10
1.3125,0.0897315,-0.0351965,94784.9,-319572,7.74481e+08,-7.66706e+07,nan,-5.50112e+10
1.3275,0.0937307,-0.0342624,94902.2,-320318,7.57345e+08,-7.70184e+07,nan,-5.52607e+10
1.3425,0.0977298,-0.0333789,95022.7,-321059,7.41143e+08,-7.73656e+07,nan,-5.55098e+10
1.3575,0.101729,-0.0325423,95146.1,-321797,7.25803e+08,-7.77121e+07,nan,-5.57584e+10
